GTAC_scan                Target                             Total_beams        uGMRT_band          Input_file (0 for Raw, 1 for FIL)
48_012_20250507_230618   J1328-0307_20250507_232845         160                BAND5               0
48_012_20250507_230618   J1328-0307_20250507_235151         160                BAND5               0 
48_012_20250507_230618   J1328-0307_20250508_001456         160                BAND5               0
48_012_20250507_232131   J1328-0307_20250507_232845         160                BAND5               0
48_012_20250507_232131   J1328-0307_20250507_235150         160                BAND5               0
48_012_20250507_232131   J1328-0307_20250508_001456         160                BAND5               0
48_098_20250420_211513   J0758+1136_20250420_213840         640                BAND5               0
GUVLBI_20250509_152030   3C138_20250509_152133              160                BAND5               0
GUVLBI_20250509_152030   3C138_20250509_152529              160                BAND5               0
GUVLBI_20250509_152030   3C138_20250509_152738              160                BAND5               0
48_026_20250510_163327   J1125+7819_20250510_163427         160                BAND3               0
48_026_20250510_165154   J1125+7819_20250510_165254         160                BAND3               0
48_079_20250512_181338   NGC3516_20250512_181441            160                BAND3               0
DDTC424_20250513_101753  3C138_20250513_101853              160                BAND3               0
DDTC424_20250513_101753  3C138_OFF_20250513_102029          160                BAND3               0
DDTC424_20250513_103552  3C138_20250513_110942              160                BAND3               0
DDTC424_20250513_103552  3C138_20250513_111146              160                BAND3               0
DDTC424_20250513_103552  FRB20240209A_20250513_103653       160                BAND3               0
DDTC424_20250513_103552  FRB20240209A_20250513_111635       160                BAND3               0
48_110_20250513_195727   J1358-4729_20250513_205525         160                BAND4               0
48_110_20250513_195727   J1358-4729_20250513_214209         160                BAND4               0
48_110_20250513_195727   J1358-4729_20250513_222933         160                BAND4               0
48_110_20250513_195727   J1358-4729_20250513_231659         160                BAND4               0
48_110_20250513_195727   J1358-4729_20250514_001040         160                BAND4               0
48_083_20250515_183615   UGC6980_20250515_184356            160                BAND5               0
48_083_20250515_183615   UGC6980_20250515_192758            160                BAND5               0
48_083_20250515_183615   UGC6980_20250515_201408            160                BAND5               0
48_083_20250515_204437   UGC6980_20250515_205037            160                BAND5               0
48_083_20250515_204437   UGC6980_20250515_214000            160                BAND5               0
48_083_20250515_221044   UGC6980_20250515_221539            160                BAND5               0
48_083_20250515_221044   UGC6980_20250515_230045            160                BAND5               0
48_113_20250516_142453   AT2024WPP_20250516_142556          160                BAND4               0
48_113_20250517_074716   AT2024WPP_20250517_085305          160                BAND5               0
48_113_20250517_074716   AT2024WPP_20250517_093905          160                BAND5               0
48_113_20250517_074716   AT2024WPP_20250517_102537          160                BAND5               0
48_113_20250517_113947   AT2024WPP_20250517_114550          160                BAND3               0
48_113_20250517_113947   AT2024WPP_20250517_123205          160                BAND3               0
48_144_20250518_090050   FRB180916B_20250518_090152         160                BAND3               0
48_138_20250519_192058   J1227-4853_20250519_192859         160                BAND4               0
48_138_20250519_195214   J1207-5050_20250519_200237         160                BAND4               0
48_123_20250520_093627   CL0238_20250520_093728             160                BAND3               0
48_123_20250520_095553   CL0238_20250520_095656             160                BAND3               0
48_123_20250520_095553   CL0238_20250520_100735             160                BAND3               0
48_123_20250520_095553   CL0238_20250520_104339             160                BAND3               0
48_123_20250520_095553   CL0238_20250520_112724             160                BAND3               0
48_123_20250520_095553   CL0238_20250520_115833             160                BAND3               0
48_123_20250520_095553   CL0238_20250520_122941             160                BAND3               0
