@relation PulsarCandidates_2015-08-26T15:56:04.250940
@attribute Profile_mean numeric
@attribute Profile_stdev numeric
@attribute Profile_skewness numeric
@attribute Profile_kurtosis numeric
@attribute DM_mean numeric
@attribute DM_stdev numeric
@attribute DM_skewness numeric
@attribute DM_kurtosis numeric
@attribute class {0,1}
@data
113.360270579,86.6384291956,0.262618581867,-1.39062932103,105.007911682,77.5816574097,0.627294462829,-1.14677823932,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index2711HR_1750-53_IA_search_DM15.210_ACCEL_50_ACCEL_Cand_1.pfd
128.655302395,53.9354810013,-0.0765710180043,-0.245474812519,1.19318950176,0.168263733387,-0.030476407913,-0.276352553941,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index32578HR_1946-51_IA_search_DM5.710_ACCEL_50_ACCEL_Cand_78.pfd
127.035512767,79.7498040451,0.0274583513818,-1.37596815328,41.1485748291,25.3633594513,0.108654568352,-1.39769636306,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index47317HR_1750-53_IA_search_DM3.590_ACCEL_50_ACCEL_Cand_17.pfd
134.94242145,73.9220849443,0.0525522853009,-1.28785091878,10.7870130539,7.0964474678,0.29990936615,-1.43307875684,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index6432HR_1938-51_IA_search_DM77.450_ACCEL_50_ACCEL_Cand_32.pfd
125.394823343,75.2599714405,-0.0138099326768,-1.26998270382,15.5710849762,11.5307836533,0.17324103655,-1.42961760024,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index55530HR_1750-53_IA_search_DM2.810_ACCEL_50_ACCEL_Cand_30.pfd
120.22522657,67.8680266779,0.220465368419,-1.06284842985,3.02975130081,1.64960706234,0.536437735051,-1.0975688693,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index38240HR_1708-52_IA_search_DM6.250_ACCEL_50_ACCEL_Cand_40.pfd
120.963508341,76.0823774423,0.179884695332,-1.0307468772,7.59947156906,5.5568318367,0.694091483312,-0.893144777707,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index25312HR_1759-53_IA_search_DM35.875_ACCEL_50_ACCEL_Cand_12.pfd
145.148449868,67.5470763547,-0.44838527676,-0.97494037694,3.8047952652,2.28215432167,0.65873313682,-0.877805766605,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index2068HR_1759-53_IA_search_DM57.700_ACCEL_50_ACCEL_Cand_8.pfd
130.131007652,65.3378028578,-0.152691976982,-0.894051219426,1.85261631012,0.986911892891,1.66616742552,2.12699974251,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index15856HR_2003-51_IA_search_DM5.560_ACCEL_50_ACCEL_Cand_56.pfd
161.546855335,62.9756641223,-0.230754228179,-0.902695283922,3.48321294785,2.35861301422,0.804384171547,-0.473836704135,?%/home/bhaswati/28_046_6may2k15_pfds/28_046_6may2k15_pfds/index86791HR_1808-53_IA_search_DM3.430_ACCEL_50_ACCEL_Cand_91.pfd
